song_name,artist_name,primary_feeling,youtube_music_url,core_affect_quadrant,song_download_status,wav_filename,bpm,danceability,onset_rate,average_loudness,dynamic_complexity,spectral_energy,chords_changes_rate,pitch_salience,spectral_complexity,spectral_centroid,barkbands_flatness_db,zerocrossingrate,scaled_bpm,scaled_danceability,scaled_onset_rate,scaled_average_loudness,scaled_dynamic_complexity,scaled_spectral_energy,scaled_chords_changes_rate,scaled_pitch_salience,scaled_spectral_complexity,scaled_spectral_centroid,scaled_barkbands_flatness_db,scaled_zerocrossingrate
Wonderwall,Oasis,Youthful,https://music.youtube.com/watch?v=hpSrLjc5SMs,Quadrant 1,Success,wonderwall.wav,172.2650757,0.98329699,4.240598202,0.920524895,4.202832699,0.029303618,0.047516584,0.549037039,21.95534515,1432.092651,0.13766107,0.058005203,1.774554839,-1.095788597,0.949435799,0.647999133,-0.15469676,-0.181198521,-0.653768888,0.491750339,0.531791322,-0.036760935,-0.560716483,-0.268425438
Seasons in the Abyss,Slayer,Energized,https://music.youtube.com/watch?v=hVJ4rYjUgX4,Quadrant 1,Success,seasonsintheabyss(albumversion).wav,151.9923553,1.135374904,2.923207045,0.808095276,2.737498045,0.021355554,0.054738563,0.582848132,27.13679695,1929.544678,0.131597549,0.074671812,1.014930038,-0.237407672,-0.81106643,0.160500811,-1.309080582,-0.864682219,-0.260649504,1.088930312,1.361710547,1.188809593,-0.713199829,0.664769387
The One,Mary J. Blige,Empowered,https://music.youtube.com/watch?v=OdMtm4v331g,Quadrant 1,Success,theone(main).wav,103.9654083,1.336396694,4.291873932,0.940942526,4.843274593,0.047157537,0.090004422,0.400384724,12.99977875,1325.82312,0.221936852,0.041398603,-0.784653805,0.897229603,1.017958376,0.736530616,0.349840385,1.354126631,1.659003376,-2.133783989,-0.902632275,-0.298576745,1.558621971,-1.198260246
Sensational ,Chris Brown,Enthusiastic,https://music.youtube.com/watch?v=k_aixXMK068,Quadrant 1,Success,sensational.wav,99.80304718,1.473238587,5.105320454,0.904866517,4.446212292,0.032120824,0.074929692,0.492355824,10.92325497,1061.397949,0.179972798,0.063945666,-0.940618701,1.669613097,2.105011684,0.58010392,0.037036551,0.061063541,0.838429323,-0.509367442,-1.23523153,-0.950039959,0.503324337,0.064192273
luther,Kendrick Lamar,Good,https://music.youtube.com/watch?v=XVveECQmiAk,Quadrant 1,Success,luther.wav,138.0644989,1.183610678,4.734489918,0.856351495,4.826946259,0.050348017,0.066387869,0.45246762,11.26088047,850.7706909,0.220094427,0.044403087,0.493049158,0.034851903,1.609450452,0.369741276,0.336976999,1.628487918,0.373465883,-1.213882867,-1.181153657,-1.468961475,1.512289299,-1.030033529
Welcome To The Jungle,Guns N' Roses,Energized,https://music.youtube.com/watch?v=0CNPR2qNzxk,Quadrant 1,Success,welcometothejungle.wav,123.3859711,1.229002118,3.531891346,0.904789746,2.888618231,0.021763455,0.066542186,0.622134864,28.52682495,2042.842407,0.100007959,0.083620772,-0.0569596,0.291057063,0.002351865,0.579771038,-1.190028802,-0.829605289,0.381865935,1.782822388,1.584352966,1.467940745,-1.507604001,1.165838511
Walk,Pantera,Confident,https://music.youtube.com/watch?v=kOV2iTeGQik,Quadrant 1,Success,walk.wav,117.6907425,1.198312044,3.877626419,0.930260718,3.501685858,0.020836765,0.100633562,0.590329528,25.09592628,2564.843994,0.128348291,0.104960755,-0.270361492,0.117831553,0.46437665,0.690213965,-0.707056978,-0.909294822,2.237587303,1.221068597,1.034821893,2.753993924,-0.794911054,2.360704348
Shake It Off,Taylor Swift,Happy,https://music.youtube.com/watch?v=1nFxMuPYeKA,Quadrant 1,Success,shakeitoff.wav,161.5653992,1.114346862,4.096349239,0.881961107,3.652330875,0.037331332,0.075391784,0.522780418,22.56068611,1827.11438,0.128179058,0.079057142,1.373634811,-0.356097294,0.756667979,0.48078535,-0.588379535,0.509134577,0.863582722,0.027999339,0.628749495,0.936452486,-0.799166868,0.910312273
Kryptonite,3 Doors Down,Energized,https://music.youtube.com/watch?v=UjWZGLi-1jM,Quadrant 1,Success,kryptonite.wav,98.93689728,1.182434678,3.650130033,0.953398824,2.252800703,0.035980452,0.057352651,0.558818758,25.88786316,1428.628662,0.14709428,0.060524732,-0.973073593,0.028214148,0.160360723,0.790541511,-1.690922893,0.392967362,-0.118354897,0.664517504,1.161667354,-0.045295151,-0.323493354,-0.127352264
Die With A Smile,Lady Gaga & Bruno Mars,Happy,https://music.youtube.com/watch?v=DlFXDl_ROAM,Quadrant 1,Success,diewithasmile.wav,155.9586639,1.040716171,3.186572313,0.735443592,5.382961273,0.026224645,0.04132079,0.518767476,15.87380028,1238.651978,0.160928085,0.05808745,1.163548789,-0.771694661,-0.459116943,-0.15451915,0.77500304,-0.445970905,-0.991029177,-0.042878245,-0.442296868,-0.513339931,0.024394428,-0.263820274
Calm Down,Rema,Calm,https://music.youtube.com/watch?v=Fm4WiX6i1FE,Quadrant 4,Success,calmdown.wav,107.0099945,1.486347198,4.607759953,0.958943069,3.536859035,0.039999016,0.040760297,0.503065944,13.0344286,761.1415405,0.203022867,0.040156066,-0.670572264,1.743602681,1.440094232,0.81458153,-0.679347713,0.738538684,-1.021538912,-0.320202626,-0.897082368,-1.689780447,1.082979565,-1.267832233
Gethsemane,Sleep Token,Bitter,https://music.youtube.com/watch?v=DZtq-IqULAo,Quadrant 2,Success,gethsemane.wav,146.8576355,1.016035676,3.012274981,0.46895799,5.57787466,0.031894114,0.056187939,0.502536416,18.63225174,1391.380127,0.168757156,0.058501471,0.822530575,-0.911000005,-0.69204005,-1.310009003,0.928554899,0.041567901,-0.181754536,-0.329555282,-0.000472456,-0.137064214,0.22127722,-0.240638458
God's Plan,Drake,Inspired,https://music.youtube.com/watch?v=FrsOnNxIrg8,Quadrant 4,Success,god'splan.wav,153.5666962,1.023806572,3.934772015,0.186358586,5.980773449,0.054767992,0.081194587,0.460108757,12.31466579,1360.549072,0.223005742,0.055017691,1.073921055,-0.867138351,0.540743452,-2.535368804,1.245956691,2.00857807,1.179451038,-1.078923196,-1.012367623,-0.213022559,1.58550205,-0.435701861
Iron Man,Black Sabbath,Joy,https://music.youtube.com/watch?v=Y68sopy2yBE,Quadrant 1,Success,ironman(2012-remaster).wav,154.7263184,1.171137929,2.932444334,0.814853311,2.972769976,0.025377404,0.080883317,0.556705117,23.52659416,1814.753784,0.135986105,0.070440598,1.11737244,-0.035548654,-0.798722133,0.18980386,-1.123734449,-0.518828322,1.162507445,0.627185849,0.783460123,0.905999736,-0.602837928,0.427855747
